lat,lng,csq
23.736395,90.4208117,31.99
23.736275,90.4208217,31.99
23.7361283,90.4208683,31.99
23.73594,90.42078,30.99
23.7357883,90.420885,31.99
23.7356667,90.4207817,31.99
23.7356167,90.4206417,31.99
23.7355717,90.4204767,31.99
23.7356,90.4203417,31.99
23.73573,90.42016,31.99
23.7358567,90.4200467,31.99
23.7359067,90.4197517,31.99
23.7360267,90.4196133,31.99
23.73627,90.4194183,31.99
23.73659,90.4192133,31.99
23.7368283,90.4189733,31.99
23.73703,90.4186817,30.99
23.7372117,90.418535,30.99
23.737225,90.418575,31.99
23.7372467,90.4185617,31.99
23.7372867,90.4185267,31.99
23.7375683,90.418165,31.99
23.7378483,90.4177217,31.99
23.738075,90.4174433,30.99
23.7383083,90.41721,29.99
23.7385433,90.4169167,31.99
23.7387,90.4166967,31.99
23.7389767,90.4164367,31.99
23.7405733,90.411475,30.99
23.7406267,90.41144,30.99
23.7406317,90.4114617,30.99
23.7406033,90.41144,30.99
23.7406117,90.411385,30.99
23.740615,90.4114433,30.99
23.7405717,90.4115017,29.99
23.7405783,90.4114983,30.99
23.7405683,90.41156,25.99
23.74055,90.411605,31.99
23.7405417,90.4114933,31.99
23.740535,90.41151,31.99
23.740525,90.4115983,31.99
23.740535,90.4116233,30.99
23.7405867,90.4115233,30.99
23.740635,90.4114567,31.99
23.74059,90.411415,31.99
23.7406267,90.4113617,31.99
23.7337242,90.3955626,25.99
23.7334983,90.3955734,25.99
23.7332528,90.3955841,27.99
23.7332331,90.3958309,27.99
23.7328304,90.3956914,30.99
23.7326929,90.395863,27.99
23.7324965,90.3959703,27.99
23.7323786,90.39626,28.99
23.7320152,90.3965282,25.99
23.7317992,90.3968501,27.99
23.7317402,90.3966784,29.99
23.7314554,90.3971398,29.99
23.7311804,90.3972042,27.99
23.730984,90.3975046,31.99
23.730817,90.3979337,27.99
23.730542,90.3980303,28.99
23.7303063,90.3984809,29.99
23.7299625,90.3984487,29.99
23.7295598,90.3988993,31.99
23.7292848,90.3992104,26.99
23.7287152,90.399822,30.99
23.7284009,90.4000902,31.99
23.728116,90.4005945,30.99
23.7281553,90.4011738,30.99
23.7285359,90.4039204,27.99
23.7287716,90.4042315,31.99
23.7292431,90.4043174,30.99
23.7291449,90.4046285,26.99
23.7295967,90.4047787,25.99
23.729577,90.4048324,31.99
23.729469,90.4046822,27.99
23.7298618,90.4047894,28.99
23.730019,90.404886,29.99
23.7303038,90.4048324,30.99
23.7305886,90.4048002,30.99
23.7309226,90.4047251,30.99
23.7311976,90.4046285,28.99
23.7315217,90.4046392,26.99
23.7319048,90.4045105,31.99
23.7321012,90.4046392,31.99
23.7323369,90.4043496,31.99
23.7325727,90.4043925,28.99
23.7328575,90.4041564,27.99
23.7330932,90.4041243,25.99
23.7330146,90.403974,30.99
23.7332405,90.4038989,30.99
23.7334566,90.4037487,27.99
23.733545,90.40362,31.99
23.7337021,90.4033112,27.99
23.7338691,90.4029249,25.99
23.7338691,90.4025387,26.99
23.7339673,90.4021417,30.99
23.7340557,90.4019379,25.99
23.7343602,90.4016268,30.99
23.7345271,90.4013585,27.99
23.7340557,90.401498,30.99
23.7344977,90.4006933,29.99
23.7348611,90.4005324,27.99
23.7348905,90.399835,31.99
23.7351143,90.4003631,29.99
23.7356152,90.4000305,25.99
23.7358706,90.4001914,25.99
23.7359982,90.3998266,29.99
23.7361652,90.3998373,31.99
23.7365384,90.3995477,29.99
23.7367938,90.3994833,28.99
23.7370786,90.399376,28.99
23.7371571,90.39914,31.99
23.7375402,90.3990005,26.99
23.7378053,90.3990219,27.99
23.7377955,90.3986464,29.99
23.7377857,90.398228,26.99
23.7379919,90.3978525,28.99
23.7381098,90.3980671,28.99
23.7380214,90.3974985,31.99
23.7377268,90.3984426,27.99
23.7377955,90.397992,29.99
23.737933,90.3973697,29.99
23.738208,90.3975199,30.99
23.7379625,90.3977452,26.99
